-1.449755+I*0.000000 1.443051+I*0.000000 1.489417+I*0.000000 2.163558+I*0.000000 2.722364+I*0.000000 3.283802+I*0.000000 4.076300+I*0.000000 4.757852+I*0.000000
-1.463470+I*0.000000 1.456691+I*0.000000 1.476036+I*0.000000 2.151064+I*0.000000 2.711806+I*0.000000 3.274012+I*0.000000 4.064739+I*0.000000 4.745314+I*0.000000
-1.477185+I*0.000000 1.462253+I*0.000000 1.470743+I*0.000000 2.138643+I*0.000000 2.701474+I*0.000000 3.264676+I*0.000000 4.053732+I*0.000000 4.733079+I*0.000000
-1.490900+I*0.000000 1.449024+I*0.000000 1.484256+I*0.000000 2.126295+I*0.000000 2.691357+I*0.000000 3.255775+I*0.000000 4.043265+I*0.000000 4.721139+I*0.000000
-1.504614+I*0.000000 1.435642+I*0.000000 1.497933+I*0.000000 2.114019+I*0.000000 2.681457+I*0.000000 3.247294+I*0.000000 4.033316+I*0.000000 4.709484+I*0.000000
-1.518328+I*0.000000 1.422270+I*0.000000 1.511624+I*0.000000 2.101822+I*0.000000 2.671742+I*0.000000 3.239212+I*0.000000 4.023884+I*0.000000 4.698103+I*0.000000
-1.532042+I*0.000000 1.408906+I*0.000000 1.525320+I*0.000000 2.089700+I*0.000000 2.662226+I*0.000000 3.231517+I*0.000000 4.014943+I*0.000000 4.686990+I*0.000000
-1.545755+I*0.000000 1.395557+I*0.000000 1.539019+I*0.000000 2.077656+I*0.000000 2.652901+I*0.000000 3.224194+I*0.000000 4.006479+I*0.000000 4.676135+I*0.000000
-1.559468+I*0.000000 1.382224+I*0.000000 1.552719+I*0.000000 2.065689+I*0.000000 2.643761+I*0.000000 3.217227+I*0.000000 3.998479+I*0.000000 4.665532+I*0.000000
-1.573181+I*0.000000 1.368906+I*0.000000 1.566420+I*0.000000 2.053800+I*0.000000 2.634804+I*0.000000 3.210601+I*0.000000 3.990928+I*0.000000 4.655173+I*0.000000
-1.586893+I*0.000000 1.355608+I*0.000000 1.580121+I*0.000000 2.041991+I*0.000000 2.626016+I*0.000000 3.204305+I*0.000000 3.983815+I*0.000000 4.645050+I*0.000000
-1.600605+I*0.000000 1.342329+I*0.000000 1.593822+I*0.000000 2.030263+I*0.000000 2.617399+I*0.000000 3.198324+I*0.000000 3.977126+I*0.000000 4.635155+I*0.000000
-1.614317+I*0.000000 1.329068+I*0.000000 1.607524+I*0.000000 2.018614+I*0.000000 2.608948+I*0.000000 3.192647+I*0.000000 3.970848+I*0.000000 4.625483+I*0.000000
-1.628028+I*0.000000 1.315826+I*0.000000 1.621226+I*0.000000 2.007047+I*0.000000 2.600658+I*0.000000 3.187260+I*0.000000 3.964969+I*0.000000 4.616027+I*0.000000
-1.641740+I*0.000000 1.302604+I*0.000000 1.634928+I*0.000000 1.995560+I*0.000000 2.592528+I*0.000000 3.182153+I*0.000000 3.959477+I*0.000000 4.606781+I*0.000000
-1.655451+I*0.000000 1.289403+I*0.000000 1.648631+I*0.000000 1.984155+I*0.000000 2.584549+I*0.000000 3.177315+I*0.000000 3.954362+I*0.000000 4.597738+I*0.000000
-1.669161+I*0.000000 1.276222+I*0.000000 1.662333+I*0.000000 1.972833+I*0.000000 2.576721+I*0.000000 3.172735+I*0.000000 3.949612+I*0.000000 4.588893+I*0.000000
-1.682872+I*0.000000 1.263063+I*0.000000 1.676035+I*0.000000 1.961592+I*0.000000 2.569040+I*0.000000 3.168402+I*0.000000 3.945216+I*0.000000 4.580240+I*0.000000
-1.696582+I*0.000000 1.249925+I*0.000000 1.689737+I*0.000000 1.950433+I*0.000000 2.561501+I*0.000000 3.164308+I*0.000000 3.941163+I*0.000000 4.571773+I*0.000000
-1.710292+I*0.000000 1.236809+I*0.000000 1.703439+I*0.000000 1.939356+I*0.000000 2.554103+I*0.000000 3.160443+I*0.000000 3.937445+I*0.000000 4.563488+I*0.000000
-1.724001+I*0.000000 1.223716+I*0.000000 1.717140+I*0.000000 1.928362+I*0.000000 2.546841+I*0.000000 3.156798+I*0.000000 3.934051+I*0.000000 4.555379+I*0.000000
-1.737711+I*0.000000 1.210645+I*0.000000 1.730840+I*0.000000 1.917450+I*0.000000 2.539713+I*0.000000 3.153364+I*0.000000 3.930971+I*0.000000 4.547442+I*0.000000
-1.751420+I*0.000000 1.197597+I*0.000000 1.744540+I*0.000000 1.906621+I*0.000000 2.532715+I*0.000000 3.150135+I*0.000000 3.928197+I*0.000000 4.539671+I*0.000000
-1.765129+I*0.000000 1.184553+I*0.000000 1.758236+I*0.000000 1.895844+I*0.000000 2.525912+I*0.000000 3.147095+I*0.000000 3.925707+I*0.000000 4.532065+I*0.000000
-1.778838+I*0.000000 1.171572+I*0.000000 1.771931+I*0.000000 1.885212+I*0.000000 2.519099+I*0.000000 3.144257+I*0.000000 3.923531+I*0.000000 4.524611+I*0.000000
